t,mode,lf_0,lf_1,lf_2,rf_0,rf_1,rf_2,lb_0,lb_1,lb_2,rb_0,rb_1,rb_2,lf_fx,lf_fy,lf_fz,rf_fx,rf_fy,rf_fz,lb_fx,lb_fy,lb_fz,rb_fx,rb_fy,rb_fz
20820.4,1,0.0631672,1.00674,-0.292231,-0.063004,-0.964865,0.248712,-0.0640606,0.966447,-0.31277,0.0638495,-0.964048,0.308188,0,0,-20.7713,0,0,-20.2831,0,0,-29.7169,0,0,-29.2287
20824.1,1,0.0631531,1.00656,-0.291902,-0.0629873,-0.964645,0.248318,-0.0640154,0.96591,-0.311748,0.0638006,-0.963463,0.307073,0,0,-20.8451,0,0,-20.2911,0,0,-29.7089,0,0,-29.1549
20828,1,0.0631371,1.00635,-0.291528,-0.06297,-0.964418,0.247911,-0.0639682,0.96535,-0.310681,0.0637497,-0.962854,0.305912,0,0,-20.8419,0,0,-20.2965,0,0,-29.7035,0,0,-29.1581
20832,1,0.0631191,1.00612,-0.291107,-0.0629514,-0.964173,0.247471,-0.0639191,0.964765,-0.309567,0.0636969,-0.96222,0.304705,0,0,-20.836,0,0,-20.3827,0,0,-29.6173,0,0,-29.164
20836.2,1,0.0630992,1.00586,-0.290641,-0.0629308,-0.963902,0.246986,-0.0638681,0.964156,-0.308407,0.0636423,-0.961563,0.303452,0,0,-20.8227,0,0,-20.3978,0,0,-29.6022,0,0,-29.1773
20840.2,1,0.0630774,1.00557,-0.290129,-0.0629083,-0.963606,0.246454,-0.0638151,0.963524,-0.307201,0.0635857,-0.960881,0.302152,0,0,-20.8688,0,0,-20.3478,0,0,-29.6522,0,0,-29.1312
20844.1,1,0.0630536,1.00526,-0.289571,-0.0628838,-0.963284,0.245877,-0.0637603,0.962867,-0.305949,0.0635273,-0.960175,0.300806,0,0,-20.9439,0,0,-20.3425,0,0,-29.6575,0,0,-29.0561
20848.4,1,0.0630279,1.00492,-0.288967,-0.0628575,-0.962937,0.245253,-0.0637035,0.962185,-0.304651,0.063467,-0.959444,0.299414,0,0,-20.92,0,0,-20.3609,0,0,-29.6391,0,0,-29.08
20852.3,1,0.0630007,1.00457,-0.288328,-0.0628292,-0.962563,0.244583,-0.0636449,0.96148,-0.303307,0.0634048,-0.958689,0.297975,0,0,-20.9156,0,0,-20.4287,0,0,-29.5713,0,0,-29.0844
20856.3,1,0.0629735,1.00421,-0.287685,-0.062799,-0.962164,0.243868,-0.0635844,0.96075,-0.301916,0.0633408,-0.95791,0.29649,0,0,-20.9071,0,0,-20.4319,0,0,-29.5681,0,0,-29.0929
20860.1,1,0.0629473,1.00386,-0.287065,-0.0627669,-0.96174,0.243105,-0.063522,0.959996,-0.300478,0.063275,-0.957107,0.294958,0,0,-20.9483,0,0,-20.3876,0,0,-29.6124,0,0,-29.0517
20864.2,1,0.0629207,1.00351,-0.286437,-0.0627332,-0.961292,0.242302,-0.0634578,0.959218,-0.298995,0.0632084,-0.956292,0.293404,0,0,-21.0399,0,0,-20.3666,0,0,-29.6334,0,0,-28.9601
20868.1,1,0.0628922,1.00314,-0.285762,-0.0626981,-0.960826,0.241466,-0.0633918,0.958415,-0.297465,0.0631431,-0.955489,0.291874,0,0,-21.0413,0,0,-20.3771,0,0,-29.6229,0,0,-28.9587
20872.2,1,0.0628617,1.00273,-0.285041,-0.0626616,-0.96034,0.240594,-0.063326,0.957613,-0.295936,0.0630799,-0.954711,0.290389,0,0,-20.9754,0,0,-20.5035,0,0,-29.4965,0,0,-29.0246
20876,1,0.0628293,1.00231,-0.284274,-0.0626231,-0.959828,0.239675,-0.0632624,0.956834,-0.294451,0.063018,-0.953945,0.288929,0,0,-20.8973,0,0,-20.5605,0,0,-29.4395,0,0,-29.1027
20880,1,0.0627951,1.00185,-0.283461,-0.0625828,-0.959291,0.23871,-0.0632008,0.956079,-0.293011,0.0629553,-0.95317,0.28745,0,0,-20.9787,0,0,-20.4292,0,0,-29.5708,0,0,-29.0213
20883.9,1,0.0627589,1.00137,-0.282601,-0.0625427,-0.958755,0.237746,-0.0631413,0.955347,-0.291616,0.0628917,-0.952382,0.285947,0,0,-21.1097,0,0,-20.3067,0,0,-29.6933,0,0,-28.8903
20887.9,1,0.0627209,1.00087,-0.281695,-0.0625046,-0.958243,0.236828,-0.0630833,0.954632,-0.290252,0.0628293,-0.951605,0.284466,0,0,-21.1029,0,0,-20.2949,0,0,-29.7051,0,0,-28.8971
20892,1,0.0626809,1.00034,-0.280743,-0.0624676,-0.957746,0.235936,-0.0630268,0.953934,-0.288921,0.062769,-0.950852,0.28303,0,0,-20.9555,0,0,-20.4606,0,0,-29.5394,0,0,-29.0445
20896,1,0.062641,0.999807,-0.279787,-0.0624298,-0.957239,0.235024,-0.0629724,0.95326,-0.287636,0.0627107,-0.950123,0.281639,0,0,-20.8328,0,0,-20.5822,0,0,-29.4178,0,0,-29.1672
20899.9,1,0.0626029,0.999298,-0.278873,-0.0623901,-0.956706,0.234066,-0.06292,0.95261,-0.286395,0.0626544,-0.949418,0.280293,0,0,-20.9382,0,0,-20.4681,0,0,-29.5319,0,0,-29.0618
20904.1,1,0.0625649,0.998789,-0.27796,-0.0623486,-0.956147,0.233062,-0.0628687,0.951972,-0.285179,0.0626002,-0.948736,0.278992,0,0,-21.1567,0,0,-20.2503,0,0,-29.7497,0,0,-28.8433
20908,1,0.0625249,0.998255,-0.277,-0.0623052,-0.955563,0.232011,-0.0628165,0.951323,-0.28394,0.062548,-0.948078,0.277737,0,0,-21.1768,0,0,-20.2212,0,0,-29.7788,0,0,-28.8232
